start,goal,runs,path_found,total_cost,runtime_ms_min,runtime_ms_mean,runtime_ms_max,algorithm,cost_type,dataset,edge_node_ratio,expanded_backward_max,expanded_backward_mean,expanded_backward_min,expanded_forward_max,expanded_forward_mean,expanded_forward_min,expanded_nodes_max,expanded_nodes_mean,expanded_nodes_min,optimality_gap_pct,runs_per_pair,scenario,seed,stress_max,stress_mean,stress_min
N_0_0,N_3_35,10,True,118.91098527865647,3.7326000165194273,4.392410011496395,5.7227000361308455,a_star_alt,distance,graph_1000,3.47,,,,,,,288,288,288,0.0,10,mixed,42,0.288,0.288,0.288
N_0_0,N_9_9,10,True,35.62264361394225,0.6510000093840063,0.6685500149615109,0.7556999917142093,weighted_a_star,distance,graph_1000,3.47,,,,,,,94,94,94,0.0,10,mixed,42,0.094,0.094,0.094
N_0_0,N_7_26,10,True,108.7721995272672,5.743000016082078,6.62209999281913,7.56060000276193,weighted_a_star,distance,graph_1000,3.47,,,,,,,751,751,751,0.0,10,mixed,42,0.751,0.751,0.751
N_0_0,N_6_17,10,True,51.37845019103772,1.2356999795883894,1.3846599962562323,1.7105999868363142,weighted_a_star,distance,graph_1000,3.47,,,,,,,177,177,177,0.0,10,mixed,42,0.177,0.177,0.177
N_0_0,N_4_9,10,True,35.187506403343896,0.6301000248640776,0.6478699971921742,0.671899993903935,weighted_a_star,distance,graph_1000,3.47,,,,,,,92,92,92,0.0,10,mixed,42,0.092,0.092,0.092
N_0_0,N_3_35,10,True,118.91098527865647,6.278400018345565,6.6825499990954995,7.060500036459416,weighted_a_star,distance,graph_1000,3.47,,,,,,,853,853,853,0.0,10,mixed,42,0.853,0.853,0.853
N_0_0,N_9_9,10,True,35.62264361394224,2.0200000144541264,2.6167500123847276,3.9766000118106604,bidirectional_a_star,distance,graph_1000,3.47,155,155,155,101,101,101,256,256,256,-3.989275717212648e-14,10,mixed,42,0.256,0.256,0.256
N_0_0,N_7_26,10,True,108.77219952726719,17.293000011704862,18.9600299927406,21.22389996657148,bidirectional_a_star,distance,graph_1000,3.47,953,953,953,781,781,781,1734,1734,1734,-1.306478565016018e-14,10,mixed,42,1.734,1.734,1.734
N_0_0,N_6_17,10,True,51.378450191037714,7.971400045789778,9.257770009571686,10.77280001481995,bidirectional_a_star,distance,graph_1000,3.47,636,636,636,195,195,195,831,831,831,-1.3829586784306016e-14,10,mixed,42,0.831,0.831,0.831
N_0_0,N_4_9,10,True,35.18750640334389,3.5211999784223735,4.464579990599304,5.469200026709586,bidirectional_a_star,distance,graph_1000,3.47,262,262,262,96,96,96,358,358,358,-2.0193040325601953e-14,10,mixed,42,0.358,0.358,0.358
N_0_0,N_3_35,10,True,118.91098527865645,20.227300003170967,22.46038000448607,24.623200006317347,bidirectional_a_star,distance,graph_1000,3.47,953,953,953,877,877,877,1830,1830,1830,-1.1950834215947527e-14,10,mixed,42,1.83,1.83,1.83
N_0_0,N_9_99,10,True,364.70272029436677,29.27790000103414,33.32835000474006,35.76050000265241,dijkstra,distance,graph_5000,3.46,,,,,,,4588,4588,4588,0.0,10,mixed,42,0.9176,0.9176,0.9176
N_0_0,N_7_53,10,True,181.92256659112144,10.93409996246919,11.97175998822786,13.658099982421845,dijkstra,distance,graph_5000,3.46,,,,,,,1723,1723,1723,0.0,10,mixed,42,0.3446,0.3446,0.3446
N_0_0,N_4_99,10,True,346.046398332055,30.058300006203353,32.31451999163255,34.646599960979074,dijkstra,distance,graph_5000,3.46,,,,,,,4379,4379,4379,0.0,10,mixed,42,0.8758,0.8758,0.8758
